feature,importance,abs_importance
sensor_198,0.003355882971703651,0.003355882971703651
sensor_413,0.0033342054748513464,0.0033342054748513464
sensor_208,0.00333344688541561,0.00333344688541561
sensor_444,0.003327621621706004,0.003327621621706004
sensor_485,0.003319795997535526,0.003319795997535526
sensor_012,0.0033004844725503034,0.0033004844725503034
sensor_024,0.003300186835714961,0.003300186835714961
sensor_438,0.0032358712785128924,0.0032358712785128924
sensor_136,0.0032060765895231312,0.0032060765895231312
sensor_473,0.0031291652859082963,0.0031291652859082963
sensor_185,0.0031253059143754734,0.0031253059143754734
sensor_419,0.0031166242151472296,0.0031166242151472296
sensor_476,0.0030642892705521805,0.0030642892705521805
sensor_003,0.00304595327836823,0.00304595327836823
sensor_196,0.0030291081050166863,0.0030291081050166863
sensor_520,0.0030001885471947656,0.0030001885471947656
sensor_255,0.0028018533381755453,0.0028018533381755453
sensor_201,0.00279517759081375,0.00279517759081375
sensor_166,0.0027198473038195234,0.0027198473038195234
sensor_018,0.0027184798228472025,0.0027184798228472025
sensor_546,0.0027084279406220913,0.0027084279406220913
sensor_487,0.0026671800869947555,0.0026671800869947555
sensor_564,0.0026422609564684236,0.0026422609564684236
sensor_046,0.0026359305703835445,0.0026359305703835445
sensor_034,0.0025793639979765797,0.0025793639979765797
sensor_177,0.002555625173582901,0.002555625173582901
sensor_589,0.0025402077639375123,0.0025402077639375123
sensor_555,0.002538225557225817,0.002538225557225817
sensor_073,0.002500203840954834,0.002500203840954834
sensor_337,0.002463515818537853,0.002463515818537853
sensor_548,0.0024159210617633177,0.0024159210617633177
sensor_496,0.0023885199714021657,0.0023885199714021657
sensor_167,0.0020280421087346743,0.0020280421087346743
sensor_482,0.0018814009303617046,0.0018814009303617046
sensor_545,0.0017605883024325588,0.0017605883024325588
sensor_418,0.0017107853401386961,0.0017107853401386961
sensor_521,0.00031703181185393305,0.00031703181185393305
sensor_074,5.93871942919449e-21,5.93871942919449e-21
