sensor,rf_rank,xgb_rank,rf_composite_score,xgb_composite_score,rf_mean_abs_shap,xgb_mean_abs_shap,rf_shap_lift,xgb_shap_lift
sensor_183,72,51,0.1288093386444096,0.14113205316088084,0.0014271641300486,0.07696263671510818,0.0001569167232278,-0.005847098718644942
sensor_024,52,59,0.1413561980051148,0.13136086380167522,0.0005386537142733,0.019742783705999033,-1.0261678276880803e-05,-0.0031044818104387466
sensor_023,53,82,0.1412020714558158,0.10897505427673146,0.0005239172005776,0.007958070147659476,-5.042810403066e-05,-0.0010123051641141591
sensor_199,54,83,0.1410024758818016,0.10851668248397739,0.0004885522422076,0.007065249179003487,0.0001528711771789,0.002764286519332935
sensor_412,56,54,0.1405184419232047,0.13673322293156892,0.0003601839823376,0.015809979576574477,0.0001152041730631,-0.004070800105525486
sensor_124,61,55,0.137701024755055,0.13397690333334503,0.0012503126199062,0.05786193849237121,0.0010206460940419,0.04742088190669805
sensor_137,57,63,0.1396807184162404,0.1241101510376091,0.0013087184464619,0.05207048386971811,-0.0004920335340453,-0.02998277668133796
sensor_015,80,58,0.1243692000029671,0.13228170063595596,0.0011368297029063,0.057116074333695276,-6.226462845535113e-05,0.010536246234288765
sensor_135,59,71,0.1385014018901325,0.1172006571863837,0.0007143888455208,0.024417204295950932,0.0002006346983518,0.004690525923525561
sensor_202,70,60,0.1291727162018548,0.13081268839691157,0.0011918260291101,0.06437845233137814,0.000480679919956,0.0064231261528182185
sensor_432,60,78,0.1380417622292396,0.11224619193250847,0.0006560941802102,0.022919235391417006,-0.0003648571401212,-0.0011689459928710634
sensor_494,73,62,0.1285525590341713,0.12521120380321915,0.0003947213735993,0.016078410793270458,1.0827838171740052e-06,-0.0037059538453003147
sensor_336,63,90,0.1364454729291037,0.10635762303603426,0.0014208617266472,0.04524695187417055,2.972748809926191e-05,0.021375796142053607
sensor_120,64,94,0.1351189669878313,0.10359104724829601,0.0007251538535605,0.013443787246825725,4.70967599954235e-05,0.013911227512643579
sensor_164,74,64,0.1280066542275643,0.12382712281582678,0.0004050700347504,0.01898305551632222,-0.0003676923289276,-0.011728767909733446
sensor_096,91,65,0.1181071370681074,0.1232450242649346,0.0005426850259477,0.02703152018199542,-7.737837393044308e-06,0.006819243913851062
sensor_434,65,77,0.1321629150835701,0.11385431169449899,0.0004910908895455,0.013490862215905827,0.0002489538692727,0.011463761023575738
sensor_225,66,69,0.1319150559368345,0.11913393132964414,0.0006939039915343,0.02653310491178283,-3.003519130485204e-05,-0.0018459792928581555
sensor_003,95,67,0.1144932444292708,0.12016017151618102,0.0003530585534812,0.01861081041212792,4.858547417411147e-05,-0.007093549329606022
sensor_032,68,125,0.1301767247384883,0.07702903232976502,0.0007258376230042,0.008645987353863417,0.0002874165768918,0.004285680950227653
sensor_496,79,68,0.1249166089559229,0.11933288650632323,0.0003757907208381,0.017992146084790276,-0.0003485736334734,-0.007520781831459044
sensor_499,86,70,0.1208923523300589,0.11910788738890653,0.0012035166919836,0.05312683444962149,-0.0005682872893966,-0.03751192445578707
sensor_444,123,72,0.0911452122417298,0.11702445888513537,0.0004765947690453,0.038532439376524924,9.046386374183384e-05,0.0018558925058110923
sensor_559,129,73,0.0836746020617163,0.11675086639539918,0.0008110124609805,0.058280589849674914,-4.338737411309854e-05,0.0015144093893188844
sensor_088,114,74,0.0993233236433586,0.1154320237430283,0.0007145744318201,0.04269959527762626,6.20425411604876e-05,-0.006079062344721884
sensor_022,75,134,0.1267965533269053,0.06903549371669389,0.0006780590445425,0.00529062342088503,-0.0003152858867274,0.0011894801394652479
sensor_429,97,75,0.1140164322517529,0.11517439961684142,0.0004137957463235,0.021993086291857086,0.0002615820439411,0.008240620847273878
sensor_184,109,76,0.1043140959731034,0.11475758633849235,0.0006508619828854,0.03765116998699277,-1.866572571403006e-05,0.0007842593206852985
sensor_485,76,99,0.1261901464485552,0.10118907802339538,0.0004725119919649,0.009213427698816567,-9.425464776631816e-05,0.0036959906602215516
sensor_070,77,103,0.1258559364599293,0.09488476728487816,0.001161281939776,0.03821970439814833,-3.936030055912723e-05,0.00486274312850149
sensor_585,99,79,0.112003383635312,0.11208582348306503,0.0004365841518837,0.022773270270649834,0.000119465509176,0.00132349385772539
sensor_500,175,80,0.0574159502743256,0.11011218741473179,0.0005657284258817,0.05932422286278054,-0.0002880592686673,-0.0065524492028547964
sensor_123,82,136,0.1231371563291138,0.0685502582408433,0.0010949204752365,0.03174369389710597,0.0005663502357942,0.00021158770783880152
sensor_014,92,84,0.1176800269912138,0.10793047274675638,0.0011881830301779,0.050422308173140515,-8.356828287440165e-05,0.00954657246028662
sensor_489,84,110,0.1225393336413242,0.08745880985624183,0.0011543754376013,0.03900277364725074,-0.0003609568678315,0.009403266701085402
sensor_128,85,97,0.121148816841834,0.10207635047121633,0.0007023542190756,0.023341118842543168,-3.934305894450091e-05,0.0024687281156885836
sensor_476,104,85,0.1068652038502856,0.10722730025730601,0.0002364854032282,0.009365080261673812,-0.0001385830264747,-0.012599447830589165
sensor_511,118,86,0.0945584890044487,0.10706311420768724,0.000970638373709,0.055784309367637404,0.0003538010981202,0.011597448093740952
sensor_571,102,87,0.1080827365388858,0.10702610310453613,0.0004191320345551,0.022878274250794847,0.0004522601296966,0.011384745934795666
sensor_016,88,98,0.1195876587867257,0.10136099698785139,0.0009278425022068,0.0429607000070881,-0.0005396467891661,0.0017994832036192275
sensor_546,113,88,0.1013094763423836,0.10695288012147597,0.0004646783091731,0.020875009875629645,-7.05006378727039e-05,-0.01679036908747392
sensor_026,89,93,0.1195016115455841,0.103770774075233,0.0003868056584945,0.011232244399113725,-0.0001220340609127,0.002119866177851315
sensor_048,125,91,0.0872113991623758,0.1058351471562496,0.0007158419382649,0.044350024774236114,-4.577821399382279e-05,-0.004878894680049259
sensor_345,139,92,0.0791173958875121,0.1053458301639332,0.0007302823689985,0.04396384006259729,0.0001314911007947,0.023348644449467784
sensor_061,93,133,0.1165637421688819,0.06915791914740782,0.0006154301874412,0.005264277900791592,0.0001456409370997,0.0014510463992648828
sensor_161,94,102,0.1155766937256621,0.0969601085211378,0.0007775007235943,0.02323427045414713,-2.6646799924966905e-05,-0.013026345347595183
sensor_207,96,162,0.1141384873851799,0.04529784669715348,0.0011648571110479,0.018044022522254247,-2.9966217395272103e-05,-0.0020570211546756985
sensor_442,100,96,0.1110222451796534,0.1021200690943236,0.0003068054167017,0.009943597906166808,-6.850245366409077e-05,0.003121669711473592
sensor_072,98,143,0.1128289125159483,0.05882352941176471,0.0005984957156709,0.0,6.537406575807554e-05,0.0
sensor_151,101,117,0.1110050515412752,0.08361017505512017,0.0007507078858344,0.021932431509113785,-0.0003652391513959,0.014165569670656797
