sensor,mean_abs_shap,shap_lift,spc_flag_rate,composite_score
sensor_551,0.017189637704144677,0.007392994676889761,0.012738853503184714,0.08252386597547276
sensor_142,0.038427499719809396,-0.0032544444842779,0.0031847133757961785,0.08244904119227553
sensor_486,0.04472572408914994,0.003764911754744066,0.0,0.08225456354930898
sensor_188,0.03875376950442058,0.01919697852409307,0.0,0.08159403070911388
sensor_002,0.024852264489438,0.02083183637886273,0.006369426751592357,0.08137443772898334
sensor_122,0.03258586130143886,0.014674987663914622,0.0031847133757961785,0.07942243187293237
sensor_050,0.03439811298726839,0.007117673049115142,0.0031847133757961785,0.07776093272898288
sensor_032,0.008645987353863417,0.004285680950227653,0.01592356687898089,0.07702903232976502
sensor_001,0.022246927206280673,-0.002847748340063643,0.009554140127388535,0.0768398157314892
sensor_043,0.03273129645217923,-0.010196928550832991,0.0031847133757961785,0.07678111807816104
sensor_204,0.018608267420195078,-0.011986778952709795,0.009554140127388535,0.07626660541890155
sensor_162,0.014537530976268297,-0.003777936091603982,0.012738853503184714,0.07544921920574697
sensor_150,0.015144237640058355,-0.0013301421919768225,0.012738853503184714,0.07494626132745401
sensor_196,0.01780305353342185,0.00962400768017043,0.009554140127388535,0.07329906931895773
sensor_098,0.012673941835131534,0.00274304978538715,0.012738853503184714,0.07145314366433267
sensor_061,0.005264277900791592,0.0014510463992648828,0.01592356687898089,0.06915791914740782
sensor_022,0.00529062342088503,0.0011894801394652479,0.01592356687898089,0.06903549371669389
sensor_569,0.004874660935848703,-0.0020701049890165177,0.01592356687898089,0.06886364604467711
sensor_123,0.03174369389710597,0.00021158770783880152,0.0031847133757961785,0.0685502582408433
sensor_185,0.01788763696913218,-1.080099998280494e-05,0.009554140127388535,0.06722265397561494
sensor_004,0.021008465295767994,0.006847794777258878,0.006369426751592357,0.06545620030717172
sensor_268,0.03139644088890095,0.012582506888186415,0.0,0.06417964281519165
sensor_195,0.026429140545271363,0.0074979939097160565,0.0031847133757961785,0.06378620187943426
sensor_073,0.020233552874485625,0.003151512265516958,0.006369426751592357,0.061678900891728644
sensor_562,0.012174649485629747,-0.0038763560634226526,0.009554140127388535,0.059531568105222366
sensor_072,0.0,0.0,0.01592356687898089,0.05882352941176471
sensor_439,0.01867349441266681,0.0029908989697464933,0.006369426751592357,0.05879084084738091
sensor_006,0.01866023283848683,0.0029816102383704783,0.006369426751592357,0.05876115762188796
sensor_273,0.011385785000627506,0.000993930290440518,0.009554140127388535,0.05625658038747407
sensor_203,0.021210446680280923,0.009916699999321304,0.0031847133757961785,0.05603995467151749
sensor_041,0.013566490674914503,0.012726317179198787,0.006369426751592357,0.05598361963115618
sensor_012,0.01587333011824659,0.005237227412769661,0.006369426751592357,0.055248936928703606
sensor_068,0.02341372168981054,-0.0025294003350908884,0.0031847133757961785,0.05518639397515042
sensor_525,0.021401463990015548,-0.007381884182102477,0.0031847133757961785,0.05473880259680589
sensor_055,0.028957213219396108,-0.0031202859017090924,0.0,0.053697145557737434
sensor_169,0.026732975838674008,-0.009238046410153897,0.0,0.05369090021999498
sensor_539,0.025294517308296936,0.01169971955587707,0.0,0.0527185388718811
sensor_223,0.012728532497010303,0.004228043972682054,0.006369426751592357,0.048983119664828115
sensor_493,0.01403730910806027,5.360510100439579e-06,0.006369426751592357,0.04858328741385906
sensor_201,0.006033441145684882,0.0024135298701086446,0.009554140127388535,0.04762461360123493
sensor_420,0.01811177725116358,-0.005335011888629489,0.0031847133757961785,0.04754221553296972
sensor_198,0.019452677353375712,-0.0012610560551310117,0.0031847133757961785,0.04729605412496886
sensor_438,0.010412638606807623,-0.005852248992947587,0.006369426751592357,0.04590241809992397
sensor_047,0.016771327223292113,-0.006301822286734075,0.0031847133757961785,0.045776395822056684
sensor_207,0.018044022522254247,-0.0020570211546756985,0.0031847133757961785,0.04529784669715348
sensor_208,0.014410931364485595,-0.012036190947411457,0.0031847133757961785,0.04527880946270878
sensor_187,0.023438212794444895,-0.004253283693931209,0.0,0.04458211194988352
sensor_066,0.010105046866755278,0.004029870414052569,0.006369426751592357,0.04417298009296319
sensor_177,0.016769425691942223,0.002578175974421746,0.0031847133757961785,0.043360853719632365
sensor_413,0.009113442354756227,-0.004099796883297658,0.006369426751592357,0.04244870137444169
sensor_545,0.009719104181172823,0.002340911609419907,0.006369426751592357,0.04239014849590422
sensor_018,0.010166423433923003,-0.000869089031744734,0.006369426751592357,0.04223498093816767
